job_id,skill_id
7402,5
7402,4
7402,13
7402,3
7435,8
7533,2
7533,0
7551,0
7551,5
7551,1
7551,3
7551,4
7551,13
7551,7
7551,186
7554,0
7554,8
7565,0
7569,1
7573,0
7573,1
7573,8
7585,4
7585,1
7585,3
7585,0
7611,17
7611,1
7614,1
7614,5
7616,1
7616,4
7616,9
7616,25
7616,30
7616,144
7616,5
7616,0
7616,18
7616,62
7618,0
7675,0
7696,1
7782,0
7782,26
7806,0
7809,0
7809,1
7809,5
7821,1
7904,0
7939,4
7939,3
7939,1
7939,2
7939,0
7939,24
7939,6
7953,0
7953,2
7953,8
7964,1
7964,0
7964,3
7964,4
8027,6
8027,0
8027,1
8027,3
8027,4
8109,1
8109,5
8129,1
8129,0
8149,9
8149,6
8149,1
8149,4
8165,1
8165,4
8180,5
8180,7
8180,186
8180,15
8180,0
8180,1
8180,4
8189,1
8189,0
8189,3
8189,5
8247,0
8247,5
8247,1
8247,14
8247,9
8256,10
8261,0
8261,1
8285,0
8285,1
8318,0
8318,1
8348,7
8348,186
8348,0
8348,5
8352,0
8352,1
8352,4
8352,3
8358,1
8393,1
8393,0
8393,4
8401,0
8401,1
8402,0
8402,5
8402,1
8403,4
8403,3
8403,1
8403,8
8403,0
8470,0
8470,1
8494,0
8518,0
8542,26
8542,0
8587,8
8587,0
8618,1
8618,0
8642,16
8642,0
8642,1
8645,0
8659,0
8659,1
8715,1
8757,0
8757,1
8765,5
8765,7
8765,186
8765,1
8765,15
8765,0
8769,1
8769,5
8769,0
8771,0
8771,1
8771,5
8771,7
8771,186
8771,6
8771,8
8779,4
8779,3
8779,1
8779,2
8779,0
8779,24
8779,6
8903,8
8903,0
8903,1
8958,1
8958,0
8958,26
8962,1
8962,0
8962,6
8974,16
8974,1
8974,0
8989,5
8989,6
8989,31
8989,1
8989,25
9004,8
9004,0
9004,5
9004,1
9025,11
9092,1
9092,3
9193,30
9193,144
9193,26
9193,18
9193,62
9198,0
9198,2
9198,14
9198,4
9198,1
9219,0
9219,1
9219,9
9240,1
9240,5
9257,1
9257,5
9257,0
9257,2
9257,9
9262,0
9262,1
9262,5
9359,36
9359,5
9359,1
9359,7
9359,186
9359,15
9359,8
9359,14
9359,4
9403,8
9403,0
9412,0
9412,4
9412,26
9412,13
9412,5
9412,1
9435,5
9435,1
9435,7
9435,186
9440,0
9440,1
9440,5
9440,4
9444,8
9503,1
9558,3
9558,1
9558,4
9642,0
9642,4
9654,0
9654,1
9654,5
9688,1
9688,4
9715,0
9715,7
